ticker,total_return_pct,avg_daily_return,daily_volatility,annualized_return,annualized_volatility,sharpe_ratio,max_daily_gain,max_daily_loss,positive_days,negative_days,win_rate,analysis_date
TGT,-41.21636195591557,-0.0017956466488818369,0.02499317177963268,-45.25029555182229,39.67543020217541,-1.140511780747905,10.060838992636556,-21.410125585706847,118,132,47.01195219123506,2025-09-26 22:40:21
XOM,8.36017533119887,0.00043259691641458093,0.014896431464640758,10.90144229364744,23.647351846654264,0.46100055364930115,4.991569318984209,-7.195592768636942,136,114,54.18326693227091,2025-09-26 22:40:21
CVX,18.155593405944067,0.0007892229033502983,0.015531462381815462,19.88841716442752,24.65543217566318,0.8066545750538061,6.645741919193417,-8.224431403287443,142,108,56.573705179282875,2025-09-26 22:40:21
COP,0.15231226053271188,0.00023333474527891955,0.021246666470573543,5.880035581028772,33.72803740216322,0.1743367249898639,10.70651544493041,-10.22619947403429,131,119,52.191235059760956,2025-09-26 22:40:21
BA,43.08163767927818,0.0017040732166666123,0.0233668965151045,42.94264505999863,37.093798254209005,1.1576772150888042,15.374135898132286,-10.471045415356627,134,116,53.38645418326693,2025-09-26 22:40:21
CAT,20.475176951798318,0.0009154524995821001,0.018523814383350077,23.06940298946892,29.405643714399353,0.7845229716284803,9.881734837340181,-8.63563452488091,127,123,50.59760956175299,2025-09-26 22:40:21
GE,61.23484696499013,0.0021155540008712128,0.020107040908584062,53.311960821954564,31.918937907309385,1.6702297857394002,10.568580050283092,-11.096307564330072,145,105,57.76892430278885,2025-09-26 22:40:21
MMM,12.059866346603284,0.0006226443767064653,0.0183390849289988,15.690638293002927,29.112394796774073,0.5389676253889494,8.776348306439889,-9.181341641889302,127,122,50.59760956175299,2025-09-26 22:40:21
DIS,19.82721455620761,0.0008952864541733531,0.018669869050127203,22.5612186451685,29.637498310066963,0.7612389685908523,11.894273251662968,-9.235803160115383,123,127,49.00398406374502,2025-09-26 22:40:21
CMCSA,-19.94809896650125,-0.0007337936357897782,0.017514449501119314,-18.49159962190241,27.803326638096593,-0.6650858676948717,7.125455946185339,-11.001074704882463,126,121,50.199203187250994,2025-09-26 22:40:21
T,37.50452295391619,0.001373840237662482,0.014079689583861202,34.620773989094545,22.350814305529944,1.5489714833579387,6.2500005355561745,-6.853143501919081,140,109,55.77689243027888,2025-09-26 22:40:21
VZ,4.3033134259780494,0.0002551419951628605,0.013141748145234075,6.429578278104084,20.861878430960225,0.30819747605096875,4.137467488197441,-6.582058937926496,124,124,49.40239043824701,2025-09-26 22:40:21
ORCL,72.16353905670074,0.0027877141047350494,0.03641474834429711,70.25039543932324,57.80662090440673,1.2152655585161163,35.94881952720688,-13.79085617423052,138,112,54.980079681274894,2025-09-26 22:40:21
ADBE,-31.10908758020205,-0.0012628885793450088,0.02096707521754064,-31.824792199494222,33.28420004759882,-0.9561531343394903,7.247063131893381,-13.853171208411885,126,123,50.199203187250994,2025-09-26 22:40:21
CRM,-11.714987678331298,-0.00028818048343865973,0.020624943489293245,-7.262148182654225,32.74108276645842,-0.22180537627466398,10.994792382664645,-6.006495541585572,128,122,50.99601593625498,2025-09-26 22:40:21
INTC,46.34197724274735,0.0022680653455142965,0.039372431813326225,57.15524670696027,62.50179785394544,0.9144576423308812,22.771084992605388,-11.502451576475071,113,135,45.0199203187251,2025-09-26 22:40:21
AMD,-5.19428330657192,0.00029862443208869083,0.03241529522210166,7.525335688635009,51.45768589945274,0.1462431813070522,23.820480081192912,-10.616537682095863,126,124,50.199203187250994,2025-09-26 22:40:21
